,Date,Route,Attempted,Succeeded,Success Percentage,Battery Voltage AVG,Temperature AVG,Relative Humidity AVG,Wind Speed Daily AVG,Wind Direction AVG,Solare Radiation AVG,Year,Month
0,11/27/2015,Disappointment Cleaver,2,0,0.0,13.64375,-3.1546296277777786,19.715,44.8033550363022,68.00416667,88.49625,2015,11
1,11/21/2015,Disappointment Cleaver,3,0,0.0,13.74958333,-0.3888888888888885,21.69070833,3.6143094161302205,117.54966670000002,93.66041667,2015,11
2,10/15/2015,Disappointment Cleaver,2,0,0.0,13.46125,8.026620372222222,27.21125,27.6221082575,259.121375,138.387,2015,10
3,10/13/2015,Little Tahoma,8,0,0.0,13.53208333,4.988657405555554,28.33570833,31.5288481686978,279.77916669999996,176.3826667,2015,10
4,10/9/2015,Disappointment Cleaver,2,0,0.0,13.21625,3.47800926111111,74.32916667,104.8297253613022,264.6875,27.79129167,2015,10
5,10/3/2015,Disappointment Cleaver,10,0,0.0,13.5775,-0.09837962777777697,62.33708333,21.1226545611978,153.9316667,196.3752083,2015,10
6,10/3/2015,Disappointment Cleaver,2,0,0.0,13.5775,-0.09837962777777697,62.33708333,21.1226545611978,153.9316667,196.3752083,2015,10
7,10/2/2015,Kautz Glacier,2,0,0.0,13.505,2.2578703722222215,47.017375,10.373671528869782,247.3183333,176.2655417,2015,10
8,10/2/2015,Disappointment Cleaver,2,0,0.0,13.505,2.2578703722222215,47.017375,10.373671528869782,247.3183333,176.2655417,2015,10
9,9/30/2015,Disappointment Cleaver,2,0,0.0,13.48333333,3.738657405555554,57.36958333,18.186749005,216.9341667,202.81275,2015,9
10,9/28/2015,Disappointment Cleaver,12,4,0.333333333,13.50333333,3.5196759277777785,27.02541667,27.5441893738022,270.8666667,201.85258330000002,2015,9
11,9/27/2015,Disappointment Cleaver,12,6,0.5,13.50458333,1.7249999999999983,23.76833333,7.333896491130221,188.2135833,201.89120830000002,2015,9
12,9/26/2015,Disappointment Cleaver,2,0,0.0,13.51625,-2.5988425944444438,59.46991667,25.316125205000002,216.3425,183.87170830000002,2015,9
13,9/26/2015,Disappointment Cleaver,12,3,0.25,13.51625,-2.5988425944444438,59.46991667,25.316125205000002,216.3425,183.87170830000002,2015,9
